Date,Temp_max(c),Temp_avg(c),Temp_min(c),Dew_max(c),Dew_avg(c),Dew_min(c),Hum_max(%),Hum_avg(%),Hum_min(%),Wind_max(mph),Wind_avg(mph),Wind_min(mph),Pres_max(in),Pres_avg(in),Pres_min(in),Precipitation
25/07/2001,32.8,28.1,23.9,23.9,23.2,21.1,100,76.8,55,9,3.6,0,29.7,29.7,29.6,0
26/07/2001,33.9,28.9,25,23.9,22.4,21.1,89,68.5,49,10,5.1,0,29.7,29.7,29.6,0
27/07/2001,30,25.6,23.9,25,23.2,22.8,100,88.3,74,17,3.2,0,29.8,29.7,29.6,0
28/07/2001,32.8,28.2,25,23.9,23.1,22.2,94,75.8,52,13,6,0,29.7,29.7,29.6,0
29/07/2001,33.9,28.6,25,25,23.2,22.2,89,74.3,52,12,5.7,0,29.8,29.7,29.6,0
30/07/2001,32.2,27.2,23.9,26.1,23.8,22.8,94,83.2,59,12,4.5,0,29.8,29.7,29.6,0
31/07/2001,31.1,26.7,25,25,23.9,22.8,94,86.3,62,13,3.5,0,29.8,29.7,29.7,0
1/08/2001,32.2,27.8,23.9,25,23.3,22.8,94,77.7,59,7,3.1,0,29.8,29.7,29.6,0
2/08/2001,32.8,28.3,25,22.8,22.4,20,89,72.1,49,10,5.3,0,29.7,29.7,29.6,0
3/08/2001,30,27.2,25,25,23.2,22.2,89,80.5,62,7,3.2,0,29.8,29.7,29.6,0
4/08/2001,32.2,27.9,25,25,23.5,22.8,94,79,59,8,2.5,0,29.8,29.7,29.7,0
5/08/2001,30,26.3,25,25,23.8,22.8,94,87.4,70,9,2.2,0,29.8,29.7,29.7,0
6/08/2001,32.2,27.7,23.9,23.9,22.9,22.2,94,77.7,55,9,4.3,0,29.8,29.7,29.6,0
7/08/2001,32.8,27.1,-17.8,25,21.6,-17.8,89,70,0,9,4.7,0,29.7,29.7,29.6,0
8/08/2001,32.2,28.3,25,25,23.3,22.2,89,75.2,62,14,5.1,0,29.8,29.7,29.7,0
9/08/2001,32.8,29.1,26.1,23.9,23.3,22.2,89,73,55,8,4,0,29.8,29.7,29.7,0
10/08/2001,32.8,29.3,26.1,25,24,22.2,94,74.7,52,16,5.9,0,29.8,29.7,29.7,0
11/08/2001,32.8,28.3,22.8,23.9,22.1,20,89,70.2,49,13,5.3,0,29.8,29.7,29.7,0
12/08/2001,33.9,29.4,25,23.9,22.9,21.1,89,69.1,49,10,4.3,0,29.8,29.7,29.6,0
13/08/2001,33.9,29.4,26.1,23.9,22.9,22.2,89,69.3,52,7,4.5,1,29.8,29.7,29.7,0
14/08/2001,32.8,28.3,26.1,25,23.7,22.8,89,77.9,55,10,4.1,0,29.8,29.8,29.7,0
15/08/2001,33.9,26.8,-17.8,25,21.6,-17.8,94,71.3,0,15,2.7,0,29.9,28.5,0,0
